ydb/core/kqp/ut/scheme unittest.[24/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/scheme unittest.[25/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/scheme unittest.[26/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/scheme unittest.[27/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/scheme unittest.[28/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/scheme unittest.[29/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/scheme unittest.[3/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/scheme unittest.[30/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/scheme unittest.[31/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/scheme unittest.[32/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
ydb/core/kqp/ut/scheme unittest.[33/50] chunk # owner TEAM:@ydb-platform/qp success_rate 100.0% (last 3 days) [2025-07-19:2025-07-21], p-9, f-0,m-0, s-0, runs-9, state Muted Stable
